plate,column,row,experiment,cpd1,dose1,cpd2,dose2
3,6,C,Cpd_1-Cpd_7,Cpd_1,0.96,Cpd_7,1.526
3,6,D,Cpd_1-Cpd_8,Cpd_1,0.914,Cpd_8,229.656
3,6,E,Cpd_2-Cpd_3,Cpd_2,1.175,Cpd_3,0.831
3,6,F,Cpd_2-Cpd_4,Cpd_2,1.165,Cpd_4,95.09
3,6,G,Cpd_2-Cpd_5,Cpd_2,1.083,Cpd_5,7.709
3,6,H,untreated,NA,NA,NA,NA
3,6,A,untreated,NA,NA,NA,NA
3,7,B,Cpd_1-Cpd_6,Cpd_1,0.792,Cpd_6,0.398
3,7,C,Cpd_1-Cpd_7,Cpd_1,1.047,Cpd_7,1.664
3,7,D,Cpd_1-Cpd_8,Cpd_1,1.024,Cpd_8,257.214
3,7,E,Cpd_2-Cpd_3,Cpd_2,1.55,Cpd_3,1.096
3,7,F,Cpd_2-Cpd_4,Cpd_2,1.561,Cpd_4,127.421
3,7,G,Cpd_2-Cpd_5,Cpd_2,1.343,Cpd_5,9.56
3,7,H,untreated,NA,NA,NA,NA
3,7,A,untreated,NA,NA,NA,NA
3,8,B,Cpd_1-Cpd_6,Cpd_1,1.022,Cpd_6,0.514
3,8,C,Cpd_1-Cpd_7,Cpd_1,1.141,Cpd_7,1.813
3,8,D,Cpd_1-Cpd_8,Cpd_1,1.147,Cpd_8,288.08
3,8,E,Cpd_2-Cpd_3,Cpd_2,2.047,Cpd_3,1.447
3,8,F,Cpd_2-Cpd_4,Cpd_2,2.091,Cpd_4,170.744
3,8,G,Cpd_2-Cpd_5,Cpd_2,1.665,Cpd_5,11.854
3,8,H,untreated,NA,NA,NA,NA
3,8,A,untreated,NA,NA,NA,NA
3,9,B,Cpd_1-Cpd_6,Cpd_1,1.319,Cpd_6,0.663
3,9,C,Cpd_1-Cpd_7,Cpd_1,1.244,Cpd_7,1.976
3,9,D,Cpd_1-Cpd_8,Cpd_1,1.284,Cpd_8,322.65
3,9,E,Cpd_2-Cpd_3,Cpd_2,2.701,Cpd_3,1.91
3,9,F,Cpd_2-Cpd_4,Cpd_2,2.802,Cpd_4,228.797
3,9,G,Cpd_2-Cpd_5,Cpd_2,2.065,Cpd_5,14.699
3,9,H,untreated,NA,NA,NA,NA
3,9,A,untreated,NA,NA,NA,NA
3,10,B,Cpd_1-Cpd_6,Cpd_1,1.701,Cpd_6,0.855
3,10,C,Cpd_1-Cpd_7,Cpd_1,1.356,Cpd_7,2.154
3,10,D,Cpd_1-Cpd_8,Cpd_1,1.438,Cpd_8,361.368
3,10,E,Cpd_2-Cpd_3,Cpd_2,3.566,Cpd_3,2.521
3,10,F,Cpd_2-Cpd_4,Cpd_2,3.755,Cpd_4,306.588
3,10,G,Cpd_2-Cpd_5,Cpd_2,2.561,Cpd_5,18.227
3,10,H,untreated,NA,NA,NA,NA
3,10,A,untreated,NA,NA,NA,NA
3,11,B,Cpd_1-Cpd_6,Cpd_1,2.194,Cpd_6,1.103
3,11,C,Cpd_1-Cpd_7,Cpd_1,1.478,Cpd_7,2.348
3,11,D,Cpd_1-Cpd_8,Cpd_1,1.611,Cpd_8,404.732
3,11,E,Cpd_2-Cpd_3,Cpd_2,4.707,Cpd_3,3.328
3,11,F,Cpd_2-Cpd_4,Cpd_2,5.032,Cpd_4,410.829
3,11,G,Cpd_2-Cpd_5,Cpd_2,3.175,Cpd_5,22.601
3,11,H,untreated,NA,NA,NA,NA
3,11,A,untreated,NA,NA,NA,NA
3,12,B,Cpd_1-Cpd_6,Cpd_1,2.831,Cpd_6,1.422
3,12,C,Cpd_1-Cpd_7,Cpd_1,1.611,Cpd_7,2.56
3,12,D,Cpd_1-Cpd_8,Cpd_1,1.804,Cpd_8,453.3
3,12,E,Cpd_2-Cpd_3,Cpd_2,6.213,Cpd_3,4.393
3,12,F,Cpd_2-Cpd_4,Cpd_2,6.742,Cpd_4,550.51
3,12,G,Cpd_2-Cpd_5,Cpd_2,3.937,Cpd_5,28.026
3,12,H,untreated,NA,NA,NA,NA
3,12,A,untreated,NA,NA,NA,NA
4,1,B,Cpd_2-Cpd_6,Cpd_2,0.176,Cpd_6,0.064
4,1,C,Cpd_2-Cpd_7,Cpd_2,0.377,Cpd_7,0.435
4,1,D,Cpd_2-Cpd_8,Cpd_2,0.376,Cpd_8,68.736
4,1,E,Cpd_3-Cpd_4,Cpd_3,0.224,Cpd_4,25.896
4,1,F,Cpd_3-Cpd_5,Cpd_3,0.338,Cpd_5,3.402
4,1,G,Cpd_3-Cpd_6,Cpd_3,0.144,Cpd_6,0.075
4,1,H,untreated,NA,NA,NA,NA
4,1,A,untreated,NA,NA,NA,NA
4,2,B,Cpd_2-Cpd_6,Cpd_2,0.253,Cpd_6,0.092
4,2,C,Cpd_2-Cpd_7,Cpd_2,0.46,Cpd_7,0.531
4,2,D,Cpd_2-Cpd_8,Cpd_2,0.467,Cpd_8,85.232
4,2,E,Cpd_3-Cpd_4,Cpd_3,0.292,Cpd_4,33.665
4,2,F,Cpd_3-Cpd_5,Cpd_3,0.406,Cpd_5,4.082
4,2,G,Cpd_3-Cpd_6,Cpd_3,0.201,Cpd_6,0.104
4,2,H,untreated,NA,NA,NA,NA
4,2,A,untreated,NA,NA,NA,NA
4,3,B,Cpd_2-Cpd_6,Cpd_2,0.364,Cpd_6,0.133
4,3,C,Cpd_2-Cpd_7,Cpd_2,0.561,Cpd_7,0.648
4,3,D,Cpd_2-Cpd_8,Cpd_2,0.579,Cpd_8,105.688
4,3,E,Cpd_3-Cpd_4,Cpd_3,0.379,Cpd_4,43.765
4,3,F,Cpd_3-Cpd_5,Cpd_3,0.487,Cpd_5,4.899
4,3,G,Cpd_3-Cpd_6,Cpd_3,0.279,Cpd_6,0.144
4,3,H,untreated,NA,NA,NA,NA
4,3,A,untreated,NA,NA,NA,NA
4,4,B,Cpd_2-Cpd_6,Cpd_2,0.524,Cpd_6,0.191
4,4,C,Cpd_2-Cpd_7,Cpd_2,0.685,Cpd_7,0.791
4,4,D,Cpd_2-Cpd_8,Cpd_2,0.718,Cpd_8,131.053
4,4,E,Cpd_3-Cpd_4,Cpd_3,0.493,Cpd_4,56.894
4,4,F,Cpd_3-Cpd_5,Cpd_3,0.584,Cpd_5,5.879
4,4,G,Cpd_3-Cpd_6,Cpd_3,0.388,Cpd_6,0.2
4,4,H,untreated,NA,NA,NA,NA
4,4,A,untreated,NA,NA,NA,NA
4,5,B,Cpd_2-Cpd_6,Cpd_2,0.755,Cpd_6,0.276
4,5,C,Cpd_2-Cpd_7,Cpd_2,0.835,Cpd_7,0.965
4,5,D,Cpd_2-Cpd_8,Cpd_2,0.89,Cpd_8,162.506
4,5,E,Cpd_3-Cpd_4,Cpd_3,0.641,Cpd_4,73.962
4,5,F,Cpd_3-Cpd_5,Cpd_3,0.701,Cpd_5,7.054
4,5,G,Cpd_3-Cpd_6,Cpd_3,0.539,Cpd_6,0.278
4,5,H,untreated,NA,NA,NA,NA
4,5,A,untreated,NA,NA,NA,NA
4,6,B,Cpd_2-Cpd_6,Cpd_2,1.087,Cpd_6,0.397
4,6,C,Cpd_2-Cpd_7,Cpd_2,1.019,Cpd_7,1.177
4,6,D,Cpd_2-Cpd_8,Cpd_2,1.104,Cpd_8,201.507
4,6,E,Cpd_3-Cpd_4,Cpd_3,0.833,Cpd_4,96.151
4,6,F,Cpd_3-Cpd_5,Cpd_3,0.841,Cpd_5,8.465
4,6,G,Cpd_3-Cpd_6,Cpd_3,0.75,Cpd_6,0.387
4,6,H,untreated,NA,NA,NA,NA
4,6,A,untreated,NA,NA,NA,NA
4,7,B,Cpd_2-Cpd_6,Cpd_2,1.565,Cpd_6,0.572
4,7,C,Cpd_2-Cpd_7,Cpd_2,1.243,Cpd_7,1.436
4,7,D,Cpd_2-Cpd_8,Cpd_2,1.369,Cpd_8,249.869
4,7,E,Cpd_3-Cpd_4,Cpd_3,1.082,Cpd_4,124.996
4,7,F,Cpd_3-Cpd_5,Cpd_3,1.009,Cpd_5,10.158
4,7,G,Cpd_3-Cpd_6,Cpd_3,1.042,Cpd_6,0.538
4,7,H,untreated,NA,NA,NA,NA
4,7,A,untreated,NA,NA,NA,NA
4,8,B,Cpd_2-Cpd_6,Cpd_2,2.254,Cpd_6,0.823
4,8,C,Cpd_2-Cpd_7,Cpd_2,1.517,Cpd_7,1.751
4,8,D,Cpd_2-Cpd_8,Cpd_2,1.697,Cpd_8,309.837
4,8,E,Cpd_3-Cpd_4,Cpd_3,1.407,Cpd_4,162.495
4,8,F,Cpd_3-Cpd_5,Cpd_3,1.211,Cpd_5,12.19
4,8,G,Cpd_3-Cpd_6,Cpd_3,1.448,Cpd_6,0.748
4,8,H,untreated,NA,NA,NA,NA
4,8,A,untreated,NA,NA,NA,NA
4,9,B,Cpd_2-Cpd_6,Cpd_2,3.246,Cpd_6,1.185
4,9,C,Cpd_2-Cpd_7,Cpd_2,1.85,Cpd_7,2.137
4,9,D,Cpd_2-Cpd_8,Cpd_2,2.104,Cpd_8,384.198
4,9,E,Cpd_3-Cpd_4,Cpd_3,1.829,Cpd_4,211.243
4,9,F,Cpd_3-Cpd_5,Cpd_3,1.453,Cpd_5,14.628
4,9,G,Cpd_3-Cpd_6,Cpd_3,2.013,Cpd_6,1.04
4,9,H,untreated,NA,NA,NA,NA
4,9,A,untreated,NA,NA,NA,NA
4,10,B,Cpd_2-Cpd_6,Cpd_2,4.674,Cpd_6,1.707
4,10,C,Cpd_2-Cpd_7,Cpd_2,2.258,Cpd_7,2.607
4,10,D,Cpd_2-Cpd_8,Cpd_2,2.609,Cpd_8,476.406
4,10,E,Cpd_3-Cpd_4,Cpd_3,2.378,Cpd_4,274.616
4,10,F,Cpd_3-Cpd_5,Cpd_3,1.744,Cpd_5,17.554
4,10,G,Cpd_3-Cpd_6,Cpd_3,2.798,Cpd_6,1.445
4,10,H,untreated,NA,NA,NA,NA
4,10,A,untreated,NA,NA,NA,NA
4,11,B,Cpd_2-Cpd_6,Cpd_2,6.73,Cpd_6,2.458
4,11,C,Cpd_2-Cpd_7,Cpd_2,2.754,Cpd_7,3.18
4,11,D,Cpd_2-Cpd_8,Cpd_2,3.236,Cpd_8,590.743
4,11,E,Cpd_3-Cpd_4,Cpd_3,3.092,Cpd_4,357.001
4,11,F,Cpd_3-Cpd_5,Cpd_3,2.093,Cpd_5,21.064
4,11,G,Cpd_3-Cpd_6,Cpd_3,3.889,Cpd_6,2.008
4,11,H,untreated,NA,NA,NA,NA
4,11,A,untreated,NA,NA,NA,NA
4,12,B,Cpd_2-Cpd_6,Cpd_2,9.692,Cpd_6,3.539
4,12,C,Cpd_2-Cpd_7,Cpd_2,3.36,Cpd_7,3.88
4,12,D,Cpd_2-Cpd_8,Cpd_2,4.012,Cpd_8,732.521
4,12,E,Cpd_3-Cpd_4,Cpd_3,4.019,Cpd_4,464.102
4,12,F,Cpd_3-Cpd_5,Cpd_3,2.511,Cpd_5,25.277
4,12,G,Cpd_3-Cpd_6,Cpd_3,5.406,Cpd_6,2.792
4,12,H,untreated,NA,NA,NA,NA
4,12,A,untreated,NA,NA,NA,NA
5,1,B,Cpd_3-Cpd_7,Cpd_3,0.352,Cpd_7,0.575
5,1,C,Cpd_3-Cpd_8,Cpd_3,0.344,Cpd_8,88.755
5,1,D,Cpd_4-Cpd_5,Cpd_4,34.064,Cpd_5,2.97
5,1,E,Cpd_4-Cpd_6,Cpd_4,15.778,Cpd_6,0.071
5,1,F,Cpd_4-Cpd_7,Cpd_4,38.545,Cpd_7,0.545
5,1,G,Cpd_4-Cpd_8,Cpd_4,34.676,Cpd_8,77.537
5,1,H,untreated,NA,NA,NA,NA
5,1,A,untreated,NA,NA,NA,NA
5,2,B,Cpd_3-Cpd_7,Cpd_3,0.415,Cpd_7,0.678
5,2,C,Cpd_3-Cpd_8,Cpd_3,0.412,Cpd_8,106.506
5,2,D,Cpd_4-Cpd_5,Cpd_4,41.558,Cpd_5,3.623
5,2,E,Cpd_4-Cpd_6,Cpd_4,22.247,Cpd_6,0.099
5,2,F,Cpd_4-Cpd_7,Cpd_4,45.868,Cpd_7,0.649
5,2,G,Cpd_4-Cpd_8,Cpd_4,42.304,Cpd_8,94.595
5,2,H,untreated,NA,NA,NA,NA
5,2,A,untreated,NA,NA,NA,NA
5,3,B,Cpd_3-Cpd_7,Cpd_3,0.49,Cpd_7,0.8
5,3,C,Cpd_3-Cpd_8,Cpd_3,0.495,Cpd_8,127.807
5,3,D,Cpd_4-Cpd_5,Cpd_4,50.701,Cpd_5,4.42
5,3,E,Cpd_4-Cpd_6,Cpd_4,31.369,Cpd_6,0.14
5,3,F,Cpd_4-Cpd_7,Cpd_4,54.583,Cpd_7,0.772
